country,categoria_expectativa_vida,rec_government_integrity,rec_energy_use_kg_of_oil_equivalent_per_capita,rec_life_expectancy_at_birth_total_years,rec_agriculture_value_added_of_gdp,rec_services_value_added_of_gdp,rec_infant_mortality_rate_per_1_000_live_births,rec_tiene_dato_gini,rec_ratio_servicios_agri,gdp_per_capita_current_us$
Angola,Mortalidad_Alta,-0.7755704498779632,-0.6243935181045912,-2.5007088646119415,0.48722508499866124,-0.0643853676936526,2.3429481000351506,-0.7986128293508674,-0.24425559173613565,882.147847234303
Angola,Mortalidad_Alta,-0.8586838053860695,-0.6566350345248194,-2.487114107625748,1.1147080162879361,-0.40349557312396866,2.4578210060567933,-0.7714191572018478,-0.2246294540681304,533.586202412447
Angola,Mortalidad_Alta,-0.7235084969615234,-0.7926020384353935,-2.419698582612045,0.9964669274972269,-0.63057711363831,2.342569778407263,1.0568921698824967,-0.3384627553137657,563.733795571487
Angola,Mortalidad_Alta,-0.8399088500059683,-0.6594397145872944,-2.8066417586849854,0.8022554872601935,-0.13673516775240305,2.7035467784037372,-0.7458044709225968,-0.23682035708904425,404.29481849612
Argentina,Mortalidad_Baja,-0.039259105613696554,-0.11122107990390802,0.5556012229348983,-0.4690954845532988,0.17552230025116033,-0.6975717391335412,1.2054631891353893,-0.13744601303931253,13935.6811110049
Argentina,Mortalidad_Media,0.09341947053924796,-0.07997693188959744,0.6079795221157804,-0.5159733968916039,0.24395260403131658,-0.7136708108620244,1.237067918387665,-0.13730866920463192,10738.0179223384
Argentina,Mortalidad_Baja,0.10012954930482673,-0.13594617003333415,0.6036792244680853,-0.5261274602736077,0.3455347990642884,-0.7052773499532312,1.2040117514077378,-0.12576944996339617,8535.59938004389
Argentina,Mortalidad_Baja,-0.2243312802011101,-0.19983866263850694,0.4772434073086109,-0.40960531161580155,0.15707873969520414,-0.6680073535708071,1.1391559078121078,-0.12819124852763103,9955.97478680428
Argentina,Mortalidad_Baja,-0.20377570140199142,-0.21354176281837808,0.48274325918351285,-0.41988108154522197,0.19870581309912883,-0.6672772053124416,1.1199617664856123,-0.1255670935951635,11752.7998922979
Argentina,Mortalidad_Baja,-0.053282075895884684,-0.2094590541544506,0.5381074607121978,-0.4776445767706289,0.3293770756044744,-0.6803424600886595,1.1279643776127946,-0.11989976137321973,14532.5009308511
Argentina,Mortalidad_Baja,-0.2352737269963776,-0.22216160772646018,0.4704263758191872,-0.4085613389754849,0.18492454539760206,-0.6634430336180279,1.120779098424987,-0.12457980039909439,12699.9623137756
Argentina,Mortalidad_Baja,-0.20107268605350231,-0.16015005248120825,0.41380057337663406,-0.4430587706824647,0.20404396211761056,-0.6328882815804748,-0.9182116228017927,-0.2201445403368973,13679.6264980954
Argentina,Mortalidad_Baja,-0.464542089571475,-0.1740815295984286,0.39229203663271717,-0.3136847286814606,-0.10727289525716116,-0.6519888673908651,1.1293493520957976,-0.14512273279287075,12233.1444119186
Argentina,Mortalidad_Baja,-0.42525825177356724,-0.19334348847286345,0.40403464833274794,-0.3318544503259437,-0.03890562763688166,-0.6519725432425467,1.1104395040245296,-0.14032420213307883,12963.675773326
